timestamp,left_encoder_count,left_encoder_speed,right_encoder_count,right_encoder_speed,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,imu_temp,mag_x,mag_y,mag_z,heading
2025-03-02T11:38:31.398437,31758,0.0,17530,0.0,-1.963,0.12,10.235,-0.281,0.128,0.506,26.4,4472,10487,-5562,66.9
2025-03-02T11:38:31.402955,31758,0.0,17530,0.0,-1.985,0.105,10.276,-0.281,0.133,0.499,26.4,4477,10507,-5537,66.9
2025-03-02T11:38:31.419850,31758,0.0,17530,0.0,-1.961,0.077,10.242,-0.281,0.137,0.504,26.4,4510,10520,-5552,66.8
2025-03-02T11:38:31.430271,31758,0.0,17530,0.0,-1.946,0.139,10.262,-0.284,0.133,0.5,26.6,4482,10492,-5542,66.9
2025-03-02T11:38:31.593232,31758,0.0,17530,0.0,-1.975,0.096,10.274,-0.279,0.132,0.504,26.3,4500,10502,-5562,66.8
2025-03-02T11:38:31.797190,31758,0.0,17530,0.0,-1.949,0.108,10.309,-0.278,0.135,0.506,26.2,4482,10507,-5587,66.9
2025-03-02T11:38:31.804891,31758,0.0,17530,0.0,-1.973,0.09799999,10.266,-0.281,0.132,0.505,26.3,4515,10487,-5505,66.7
2025-03-02T11:38:31.834096,31758,0.0,17530,0.0,-1.98,0.12,10.29,-0.283,0.137,0.504,26.4,4467,10487,-5542,66.9
2025-03-02T11:38:31.888101,31758,0.0,17530,0.0,-1.966,0.081,10.331,-0.276,0.135,0.505,26.4,4495,10497,-5520,66.8
2025-03-02T11:38:31.941904,31758,0.0,17530,0.0,-1.942,0.117,10.312,-0.284,0.137,0.506,26.5,4510,10520,-5532,66.8
2025-03-02T11:38:32.046690,31766,0.0,17530,0.0,-2.344,0.153,10.348,-0.307,0.168,0.472,26.3,4065,10497,-6372,68.8
2025-03-02T11:38:32.150821,31909,1360.0,17666,1320.0,-1.525,1.116,10.422,-0.339,0.093,0.647,26.2,3745,11052,-6077,71.3
2025-03-02T11:38:32.367800,32276,1800.0,18024,1730.0,-1.19,0.335,10.211,0.12,0.272,0.449,26.6,4355,10642,-6005,67.7
2025-03-02T11:38:32.514658,32476,2040.0,18208,1870.0,-0.299,1.721,16.649,-0.463,0.148,0.433,26.3,4247,11110,-5945,69.1
2025-03-02T11:38:32.764331,33067,1990.0,18783,1980.0,-2.234,-3.455,1.705,-0.405,-0.184,0.582,26.5,4302,10887,-5940,68.4
2025-03-02T11:38:32.889977,33281,1900.0,18990,1940.0,-3.227,-0.223,13.34,-0.168,-0.119,0.626,26.3,4162,10832,-5697,69.0
2025-03-02T11:38:33.272763,34171,2230.0,19820,2110.0,-3.8,0.048,11.741,-0.373,0.054,0.608,26.3,4257,10735,-5867,68.4
2025-03-02T11:38:33.312681,34188,2230.0,19834,2110.0,-2.595,0.716,16.005,-0.043,0.129,0.5,26.1,4290,10590,-5857,67.9
2025-03-02T11:38:33.374317,34205,2230.0,19849,2110.0,-0.781,-0.132,5.701,-0.291,0.326,0.467,26.4,4467,10882,-5955,67.7
2025-03-02T11:38:33.380501,34221,2230.0,19865,2110.0,-4.599,0.469,8.904,-0.271,-0.159,0.66,26.4,4280,10605,-5922,68.0
2025-03-02T11:38:33.436169,34394,1960.0,20021,1730.0,-1.439,0.742,12.091,-0.379,0.393,0.5,26.3,4295,10570,-5932,67.9
2025-03-02T11:38:33.560881,34769,2220.0,20341,1930.0,-2.193,0.644,-0.001,-0.258,0.347,0.606,26.4,4205,10702,-5790,68.5
2025-03-02T11:38:33.764878,35090,1990.0,20593,1560.0,-2.258,-0.242,9.124,-0.558,0.035,0.466,26.3,4387,10472,-6125,67.3
2025-03-02T11:38:33.956041,35505,2360.0,20932,1970.0,-2.749,1.322,14.439,-0.209,-0.06400001,0.542,26.5,4505,10400,-6057,66.6
2025-03-02T11:38:33.997509,35721,2210.0,21127,1930.0,-2.052,0.972,15.716,-0.184,0.163,0.719,26.4,4542,10420,-5970,66.4
2025-03-02T11:38:34.130543,35991,2180.0,21359,1950.0,-2.698,-2.657,2.957,-0.431,0.142,0.472,26.3,4525,10472,-6077,66.6
2025-03-02T11:38:34.541281,36863,4420.0,22137,1900.0,-1.369,-1.116,6.627,-0.48,0.179,0.563,26.4,4670,10317,-6212,65.6
2025-03-02T11:38:34.743477,37337,2110.0,22576,2010.0,-1.164,-2.164,10.74,-0.29,-0.003,0.486,26.3,4595,10067,-5960,65.5
2025-03-02T11:38:35.035386,37967,2420.0,23124,1980.0,-3.225,-1.065,10.757,-0.473,-0.377,0.51,26.5,4725,10272,-6170,65.3
2025-03-02T11:38:35.899311,38184,2220.0,23316,1900.0,-3.543,-1.046,10.092,-0.206,-0.285,0.468,26.4,4670,10420,-6232,65.9
2025-03-02T11:38:35.906236,38089,-280.0,23215,-110.0,-1.882,0.132,10.379,-0.279,0.136,0.559,26.4,5137,10117,-5267,63.1
2025-03-02T11:38:35.910855,38089,-280.0,23215,-110.0,-1.81,0.048,10.472,-0.269,0.134,0.546,26.4,5040,9542,-5572,62.2
